date|bullish_index|bearish_index|bull_bear_difference|no_bull_tweets|no_bear_tweets
2012-10-14|1.673636|1.535526|0.13811|66|38
2012-10-15|1.659974|1.582965|0.077009|390|172
2012-10-16|1.68447|1.679525|0.004944|613|295
2012-10-17|1.733446|1.838655|-0.105208|354|223
2012-10-18|1.652151|1.868399|-0.216248|451|456
2012-10-19|1.575661|1.896788|-0.321127|696|688
2012-10-20|1.527182|1.722603|-0.195421|110|73
2012-10-21|1.674746|1.864507|-0.189761|118|71
2012-10-22|1.640037|1.713545|-0.073508|534|378
2012-10-23|1.649413|1.794374|-0.144961|647|551
2012-10-24|1.615996|1.773547|-0.157552|482|358
2012-10-25|1.686724|1.847321|-0.160597|1154|713
2012-10-26|1.664761|1.707734|-0.042973|733|459
2012-10-27|1.36254|1.768679|-0.40614|63|53
2012-10-28|1.409818|1.761111|-0.351293|55|27
2012-10-29|1.695645|1.770593|-0.074948|124|118
2012-10-30|1.633443|1.893933|-0.26049|122|89
2012-10-31|1.654452|1.653645|0.000807|566|321
2012-11-01|1.68931|1.652327|0.036984|377|202
2012-11-02|1.56993|1.869846|-0.299916|853|715
2012-11-03|1.633302|1.8309|-0.197598|106|100
2012-11-04|1.783556|1.652118|0.131438|90|85
2012-11-05|1.634088|1.708342|-0.074254|521|368
2012-11-06|1.545369|1.84864|-0.303271|447|331
2012-11-07|1.591108|1.771232|-0.180124|785|641
2012-11-08|1.508271|1.840396|-0.332126|1064|959
2012-11-09|1.635288|1.690195|-0.054907|815|563
2012-11-10|1.522344|1.934583|-0.41224|64|48
2012-11-11|1.708667|1.654828|0.053839|75|29
2012-11-12|1.594034|1.722656|-0.128622|476|369
2012-11-13|1.64734|1.76811|-0.12077|500|344
2012-11-14|1.599327|1.728789|-0.129462|431|289
2012-11-15|1.549342|1.779252|-0.22991|866|615
2012-11-16|1.535394|1.714521|-0.179127|1040|679
2012-11-17|1.536404|1.672439|-0.136035|89|41
2012-11-18|1.6276|1.636122|-0.008522|75|49
2012-11-19|1.666932|1.653803|0.013129|854|497
2012-11-20|1.67226|1.620618|0.051642|531|340
2012-11-21|1.670637|1.630473|0.040164|251|148
2012-11-22|1.762727|1.799583|-0.036856|33|48
2012-11-23|1.771582|1.7642|0.007382|196|100
2012-11-24|1.567636|2.106207|-0.538571|55|29
